Method,TP,FP,FN,TN,Precision,Recall,F1,F2,FAR100,FARswitch100,AUROC,AUPRC,EventRecall,MeanDelay
ZScore,36,65,0,50,0.35643564356082735,0.9999999999722223,0.5255474448603548,0.7346938772331528,56.52173913043478,62.10526315789474,0.5664251207729468,0.2520873544521851,1.0,0.0
PCA_Recon,36,78,0,37,0.31578947368144045,0.9999999999722223,0.4799999996288,0.6976744182828555,67.82608695652173,62.10526315789474,0.5729468599033817,0.2522574306716137,1.0,0.0
OCSVM,36,62,0,53,0.3673469387717618,0.9999999999722223,0.5373134324348408,0.7438016525759852,53.91304347826087,61.05263157894737,0.7869565217391304,0.4235294117647059,1.0,0.0
GINE_AE,36,76,0,39,0.3214285714257015,0.9999999999722223,0.4864864861117604,0.7031249996786498,66.08695652173913,62.10526315789474,0.7652173913043478,0.372393137159735,1.0,0.0
GraphMAE_like,36,45,0,70,0.4444444444389575,0.9999999999722223,0.6153846149480605,0.7999999996942223,39.130434782608695,38.94736842105263,0.7652173913043478,0.372393137159735,1.0,0.0
Proposed_full_composite,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0
