case,device,python,processor,ram_gb,params_total,nodes,edges_directed,node_features,edge_features,mean_ms_per_step,p95_ms_per_step,throughput_steps_per_sec,gpu_name,gpu_peak_memory_mb
case39,cuda,3.12.13,x86_64,13.61,27581,39,92,8,5,1.6421696466629025,1.8643434000239263,608.9504833024573,Tesla T4,21.452288
case118,cuda,3.12.13,x86_64,13.61,27581,118,372,8,5,1.564804899999217,1.8034803500086125,639.0573035657675,Tesla T4,22.144512
