PhysConfirmZ,PhysPersistenceK,TP,FP,FN,TN,Precision,Recall,F1,F2,FAR100,FARswitch100,AUROC,AUPRC,EventRecall,MeanDelay
5.0,1,36,15,0,100,0.7058823529273357,0.9999999999722223,0.8275862063923901,0.9230769228118344,13.043478260869565,14.736842105263158,1.0,1.0,1.0,0.0
5.0,2,36,13,0,102,0.7346938775360267,0.9999999999722223,0.8470588230211764,0.9326424867856855,11.304347826086957,13.68421052631579,1.0,1.0,1.0,0.0
5.0,3,36,12,0,103,0.749999999984375,0.9999999999722223,0.8571428566326531,0.9374999997412111,10.434782608695652,12.631578947368421,1.0,1.0,1.0,0.0
6.0,1,36,10,0,105,0.7826086956351608,0.9999999999722223,0.8780487799738252,0.947368420798338,8.695652173913043,10.526315789473685,1.0,1.0,1.0,0.0
6.0,2,36,7,0,108,0.8372093023061115,0.9999999999722223,0.9113924045441436,0.9625668446727103,6.086956521739131,7.368421052631579,1.0,1.0,1.0,0.0
6.0,3,36,5,0,110,0.8780487804663891,0.9999999999722223,0.935064934542756,0.9729729727310447,4.3478260869565215,5.2631578947368425,1.0,1.0,1.0,0.0
7.0,1,36,9,0,106,0.7999999999822223,0.9999999999722223,0.8888888883731139,0.9523809521289998,7.826086956521739,9.473684210526315,1.0,1.0,1.0,0.0
7.0,2,36,5,0,110,0.8780487804663891,0.9999999999722223,0.935064934542756,0.9729729727310447,4.3478260869565215,5.2631578947368425,1.0,1.0,1.0,0.0
7.0,3,36,3,0,112,0.9230769230532545,0.9999999999722223,0.9599999994752,0.9836065571405536,2.608695652173913,3.1578947368421053,1.0,1.0,1.0,0.0
8.0,1,36,7,0,108,0.8372093023061115,0.9999999999722223,0.9113924045441436,0.9625668446727103,6.086956521739131,7.368421052631579,1.0,1.0,1.0,0.0
8.0,2,36,1,0,114,0.9729729729466765,0.9999999999722223,0.9863013693360857,0.9944751378907849,0.8695652173913043,1.0526315789473684,1.0,1.0,1.0,0.0
8.0,3,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0
10.0,1,36,4,0,111,0.8999999999775001,0.9999999999722223,0.947368420529086,0.9782608693259689,3.4782608695652173,4.2105263157894735,1.0,1.0,1.0,0.0
10.0,2,36,1,0,114,0.9729729729466765,0.9999999999722223,0.9863013693360857,0.9944751378907849,0.8695652173913043,1.0526315789473684,1.0,1.0,1.0,0.0
10.0,3,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0
12.0,1,36,2,0,113,0.9473684210277009,0.9999999999722223,0.9729729724470416,0.9890109887773216,1.7391304347826086,2.1052631578947367,1.0,1.0,1.0,0.0
12.0,2,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0
12.0,3,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0
