variant,epoch,train_loss,val_loss
proposed_full,1,5.02862713072035,4.950024714836707
proposed_full,2,4.79644238948822,4.719807478097769
proposed_full,3,4.485285842860186,4.2855759107149565
proposed_full,4,3.9476704740965807,3.628236810977642
proposed_full,5,3.2261411437281855,2.9220122960897594
proposed_full,6,2.4636339164442487,2.048306349607614
proposed_full,7,1.8260197573237948,1.756392370737516
proposed_full,8,1.6512913565944742,1.600706300368676
proposed_full,9,1.536976707202417,1.500526239321782
proposed_full,10,1.4670745316478941,1.4464786712939923
